close,閉じる
"Use in Search","検索で使用"
"Visible in Advanced Search","高度検索で目視可能"
"Comparable on Frontend","フロントエンドで互換可能"
"Use for Promo Rule Conditions",プロモーションルールの条件で使用する
"Enable WYSIWYG",WYSIWYGエディタを有効にする
"Allow HTML Tags on Frontend",フロントエンドでHTMLタグを許可する
"Visible on Catalog Pages on Frontend","フロントエンドのカタログページで目視可能"
"Used in Product Listing",商品リスト表示で使用する
"Depends on design theme",デザインテーマ依存
"Used for Sorting in Product Listing",商品リスト表示の並べ替え順で使用する
"Media Image",メディアイメージ
Gallery,ギャラリー
"System Properties",システムプロパティ
"Data Type for Saving in Database",データベースに保存するデータタイプ
Text,テキスト
Varchar,varchar
Static,静的
Datetime,日時
Decimal,10進数
Integer,整数
"Globally Editable",全体で編集可能
"Attribute Information",属性情報
Properties,プロパティ
"Manage Labels","ラベル管理"
Visible,表示
Searchable,検索可能
Comparable,比較可能
"Delete Selected Group",選択したグループの削除
"Delete Attribute Set",属性セットの削除
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","このセット内の全ての商品を削除しようとしています。 ' '本当にこの属性セットを削除しますか？"
"Save Attribute Set",保存
"New Set Name",新規セット名
"Edit Attribute Set '%1'","属性セット編集 '%1'"
Empty,空
"Add Attribute",属性の追加
"Add New Group",新規グループの追加
"Add Group",グループの追加
"Edit Set Name",セット名編集
"For internal use","内部用"
"Based On",元
"Add New Attribute Set",新規属性の追加
"Add New Set",新規セットの追加
"Product Templates","製品テンプレート"
"Close Window",ウインドウを閉じる
"New Product",新規商品
"Save & Edit","保存 & 編集"
"Save & New","保存 & 新規作成"
"Save & Duplicate","保存 & 複製"
"Save & Close","保存 & 終了"
Attributes,属性
Change,変更
"Advanced Inventory","Advanced インベントリ"
"Products Information",商品情報
"Category Name","カテゴリー名"
"Parent Category",親カテゴリ
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","カスタム親カテゴリがない場合、デフォルトの親カテゴリを使用してください。 ' 'カテゴリを再度アサインすることは以下でいつでも可能です ' '<a href=""%1"" target=""_blank"">商品 > カテゴリ</a>."
"We saved the price alert subscription.","価格通知登録を保存しました。"
"We saved the stock notification.","在庫通知を保存しました。"
"There are no customers for this alert.",このアラートに顧客は登録されていません。
"Subscribe Date","登録日"
"Last Notified","最終通知日"
"Send Count",カウント送信
"New Attribute",新しい属性
Visibility,表示
"Add New Option",新規オプションの追加
"Import Options","オプションのインポート"
"Use Default",標準の値を使用
Import,インポート
"Add New Row",新しい行の追加
"Delete Row",行の削除
"Tier Pricing",価格層
"Default Price",標準の価格
"Add Group Price",グループ価格を追加
"ALL GROUPS",全てのグループ
"Add Tier",階層の追加
"Default Values",標準の値
"Related Products",関連する商品
Up-sells,アップセル商品
Cross-sells,クロスセル商品
"Size for %1","%1 のサイズ"
"Watermark File for %1","%1 の透かしファイル"
"Position of Watermark for %1","%1 の透かしファイルの位置"
"Name in %1","%1内での名前"
"Change status",ステータス変更
"Update Attributes",属性を更新
"Click here or drag and drop to add images","ここをクリックするかドラッグ&ドロップで画像を追加してください"
"Delete image","画像削除"
"Make Base","ベース作成"
Hidden,隠し
"Image Management","画像管理"
"start typing to search category","カテゴリ検索をおこないます"
"New Category",新規カテゴリ
"Add New Images",新規画像の追加
"Inc. Tax",税込
lbs,lbs
"Notify Low Stock RSS",在庫僅か通知RSS
"Low Stock Products",在庫が残り僅かな商品
"%1 has reached a quantity of %2.","%1 は %2　の量に達しました"
"Subscribe to RSS Feed",RSSフィードを購読する
"Products Comparison List",比較リスト
AM,AM
PM,PM
"New Products from %1","%1 からの新商品"
"New Products",新しい商品
"%1 - Special Products","%1 - 特別商品"
"Click for price",クリックして価格を表示
"Special Expires On: %1","特価期限: %1"
"Price: %1","価格: %1"
"Special Price: %1","特別価格: %1"
"Special Products",特別価格商品
"You deleted the category.","カテゴリを削除しました。"
"Something went wrong while trying to delete the category.","カテゴリを削除しようとする間に問題が発生しました。"
"Manage Catalog Categories",カタログカテゴリ管理
"Manage Categories",カテゴリ管理
"Category is not available for requested store.","要求されたストアにてカテゴリーは有効ではありません。"
"There was a category move error.","カテゴリ移動エラーが発生しました。"
"There was a category move error. %1","カテゴリ移動エラーが発生しました。 %1"
"You moved the category","カテゴリを移動しました。"
"Attribute ""%1"" is required.","属性 ""%1"" は必須です。"
"Unable to save the category","カテゴリを保存できませんでした"
"You saved the category.","カテゴリを保存しました。"
"Please select products for attributes update.","属性アップデートのために商品を選択してください。"
"Please make sure to define SKU values for all processed products.","全ての生成済み商品のSKUの値を確実に定義してください。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"Something went wrong while updating the product(s) attributes.","商品属性をアップデートしている間に問題が発生しました。"
"Manage Product Attributes",商品属性管理
"This attribute cannot be deleted.",この属性は削除されません。
"The product attribute has been deleted.",商品属性を削除しました。
"We can't find an attribute to delete.","削除する属性が見つかりません。"
"This attribute no longer exists.","この属性はもう存在しません。"
"This attribute cannot be edited.",この属性は変更できません。
"Edit Product Attribute",商品属性の編集
"Attribute Set with name '%1' already exists.","名前が '%1' の属性セットは既に存在します。"
"Something went wrong saving the attribute.","属性を保存中に問題が発生しました。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性コード ""%1"" は無効です。 文字 (a-z), ' '数字 (0-9) or アンダースコア(_)のみこのフィールドでは使用してください。 , 最初のキャラクターは文字でなければなりません。"
"You can't update your attribute.","属性をアップデートできません。"
"You saved the product attribute.","商品属性を保存しました。"
"An attribute with this code already exists.","このコードの属性は既に存在します。"
"Attribute with the same code (%1) already exists.","同じコード (%1) の属性は既に存在します。"
"You duplicated the product.","商品を複製しました。"
"This product no longer exists.",この商品は存在していません。
"A group with the same name already exists.",同じ名前のグループが既に存在しています。
"Something went wrong while saving this group.","このグループの保存中に問題が発生しました。"
"Please select product(s).",商品を選択してください。
"A total of %1 record(s) have been updated.","合計 %1 レコードがアップデートされました。"
"Unable to save product","商品を保存できません"
"You saved the product.","商品を保存しました。"
"SKU for product %1 has been changed to %2.","商品%1 のSKUは%2に変更されました。"
"New Product Template","新商品テンプレート"
"The attribute set has been removed.",属性セットを削除しました。
"We can't delete this set right now.","現在このセットを削除できません。"
"New Set",新しいセット
"Manage Product Sets",商品セット管理
"Manage Attribute Sets",属性セット管理
"This attribute set no longer exists.",この属性セットが存在していません。
"You saved the attribute set.","属性セットを保存しました。"
"An error occurred while saving the attribute set.",属性セットの保存中にエラーが発生しました。
"You added product %1 to the comparison list.","比較リストに %1 を追加しました"
"You cleared the comparison list.","比較リストをクリアしました。"
"You removed product %1 from the comparison list.","比較リストより商品 %1 を削除しました。"
"Invalid attribute %1","無効な属性 %1"
Grid,表
List,リスト
"Product is not loaded",商品が読み込まれていません。
"Bad controller interface for showing product","商品を表示するには不正なコントローラーインターフェイスです"
"Make sure the To Date is later than or the same as the From Date.","終了時期は開始時期より後か同じであることを確認してください"
"Sorry, but we can\'t move the category because we can\'t find the new parent category you' ' selected.","申し訳ありません。選択された新しい親カテゴリが見つからないためカテゴリを移動することができません。"
"Sorry, but we can't move the category because we can't find the new category you selected.","申し訳ありません。選択された新しいカテゴリが見つからないためカテゴリを移動することができません。"
"We can\'t perform this category move operation because the parent category matches the child' 'category.","親カテゴリーが子カテゴリーにマッチするのでこのカテゴリ移動作業を実行できません。"
"Can't delete root category.","ルートカテゴリーは削除できません。"
"The value of attribute ""%1"" must be unique.","属性の値 ""%1"" は特殊でなければなりません。"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.",標準の商品リスト表示順は利用できる候補に存在していません。
"No layout updates",更新するレイアウトがありません
"Products only",商品のみ
"Static block only",静的ブロックのみ
"Static block and products",静的ブロックと商品
"Please select a static block.","静的ブロックを選択してください。"
frontend_label,frontend_label
"Could not save product ""%1"" with position %2 to category %3","商品 ""%1"" を %2の位置で %3のカテゴリーに保存出来ませんでした。"
"Category does not contain specified product","カテゴリーは指定された商品を含みません"
"Could not save product ""%1"" with position %position to category %2","Could not save product ""%1"" with position %position to category %2"
"Operation do not allow to move a parent category to any of children category","オペレーションは親カテゴリーをどの子カテゴリーに移動させることを許可しません"
"Could not move category","カテゴリを移動できませんでした"
"Could not save category: %1","カテゴリは保存できませんでした: %1"
"Cannot delete category with id %1","id %1 のカテゴリは削除できません"
"-- Please Select a Category --","-- カテゴリを選択してください --"
"Grid Only",グリッドのみ
"List Only",リストのみ
"Grid (default) / List","グリッド（デフォルト） /リスト"
"List (default) / Grid","リスト（デフォルト） /グリッド"
"Automatic (equalize price ranges)","自動 (価格範囲と同じ)"
"Automatic (equalize product counts)","自動 (商品カウントと同じ)"
Manual,手動
"-- Please select --","-- 選択してください --"
"Product Thumbnail Itself",商品サムネイル
"Parent Product Thumbnail",親商品のサムネイル
"12h AM/PM",12時間表記
24h,24時間
Stretch,拡大
Tile,タイル
Top/Left,上/左
Top/Right,上/右
Bottom/Left,下部/左
Bottom/Right,下部/右
Center,中央
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 は \Magento\Framework\Model\AbstractModel　拡張しません"
"Unknown EAV indexer type ""%1"".","不明な EAV インデクサータイプ ""%1""."
"Bad value was supplied.","不正な値です。"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.' 'Currently there are %1$d of them.' 'Please reduce the number of filterable/sortable attributes in order to use this module","フラットカタログモジュールは　%2$d フィルター可能　と/あるいは　ソート可能属性の限界があります。' '現在 %1$d あります。' 'このモジュールを使うためにフィルター可能　と/あるいは　ソート可能の属性の数を減らして下さい。"
"Unsupported product type ""%1"".","サポートされていない商品タイプ ""%1""."
"Please correct the category.","カテゴリーを修正してください。"
"Must be category model instance or its id.","カテゴリーモデルインスタンスかそのidでなければなりません。"
"The attribute model is not defined.","属性モデルが定義されていません。"
Category,カテゴリ
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 はアルゴリズムに見つかりません"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 は \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface　拡張できません"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 は \Magento\Catalog\Model\Layer\Filter\AbstractFilter　拡張しません"
"The filter must be an object. Please set correct filter.","フィルターはオブジェクトでなければなりません。 正しいフィルターをセットしてください。"
"Clear Price","クリア価格"
"%1 and above","%1 と以上"
"The filters must be an array.",フィルタは配列でなければなりません。
"We found a duplicate website group price customer group.","" duplicate website group price customer group.
"Group price must be a number greater than 0.","グループ価格は0以上の数字でなければなりません。"
"The image does not exist.","画像は存在しません。"
"Please correct the image file type.","画像ファイルタイプを修正してください。"
"We couldn't move this file: %1.","このファイルを移動できません: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","ファイル%1はコピーできませんでした。 画像が存在しないメディアを削除して再度試して下さい。"
"Please enter a number 0 or greater in this field.",0以上の数字を入力してください。
"The value of attribute ""%1"" must be set","属性 ""%1"" の値はセットされなければなりません。"
"SKU length should be %1 characters maximum.","SKUの値の長さは最大 %1 キャラクターでなければなりません。"
"Please enter a valid number in this field.",正しい数字で入力してください。
"We found a duplicate website, tier price, customer group and quantity.","複製ウェブサイト、Tierプライス,カスタムグループと量が見つかりました。"
"Invalid option id %1","不正なオプション id %1"
"Can not create attribute set based on non product attribute set.","商品属性セットでないものに基づく属性セットは作成できません。"
"Can not create attribute set based on not existing attribute set","存在しない商品属性セットに基づく属性セットは作成できません。"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config",設定を使用する
"Attribute set already exists.","属性セットは既に存在します。"
"Requested product does not support images.","要求された商品は画像をサポートしてません。"
"There is no store with provided ID.","提供されたIDに合うストアはありません。"
"The image content is not valid.","画像コンテンツは有効ではありません。"
"Cannot save product.","商品保存できません。"
"Failed to save new media gallery entry.","新しいメディアギャラリーエントリーの保存に失敗しました。"
"There is no image with provided ID.","提供されたIDの画像はありません。"
"Such product doesn't exist","その商品は存在しません"
"Such image doesn't exist","その画像は存在しません"
"Please provide valid data","有効なデータを提供してください"
"Values of following attributes are invalid: %1","以下の属性の値は無効です: %1"
"Could not save group price","グループ価格を保存でいません"
"We can't find the image file.","画像ファイルがみつかりません。"
"The option type to get group instance is incorrect.","グループインスタンスを入手するオプションタイプが間違っています。"
"Select type options required values rows.",価格の列を要求されたタイプオプションを選択
"Could not save product option","商品オプションを保存できませんでした"
"Could not remove custom option","カスタムオプションを削除できませんでした"
"Please specify date required option(s).",日付の必須オプションを指定してください。
"Please specify time required option(s).",時間の必須項目を指定してください。
"Please specify the product's required option(s).",商品の必須オプションを指定してください。
"The option instance type in options group is incorrect.","オプショングループのオプションインスタンスタイプが正しくありません。"
"The product instance type in options group is incorrect.","オプショングループの商品インスタンスタイプが正しくありません。"
"The configuration item option instance in options group is incorrect.","オプショングループのコンフィグレーションアイテムオプションインスタンスは正しくありません。"
"The configuration item instance in options group is incorrect.","オプショングループのコンフィグレーションアイテムインスタンスは正しくありません。"
"The BuyRequest instance in options group is incorrect.","オプショングループのBuyRequestインスタンスは正しくありません。"
"We couldn't add the product to the cart because of an option validation issue.","オプション認証問題のため商品をカートに追加出来ませんでした。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 は \Magento\Catalog\Model\Product\Option\Type\DefaultType　を拡張しません。"
"The file options format is not valid.","ファイルオプションフォーマットは有効ではありません。"
"The file '%1' for '%2' has an invalid extension.","'%2' の'%1'　ファイルが無効なエクステンションをもっています。"
"Maximum allowed image size for '%1' is %2x%3 px.","'%1'の最大可能画像サイズは %2x%3 px　です。"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","アップロードされたファイル '%1'は我々のサーバーで許可された %2 メガバイトより大きいです。"
"File '%1' is not an image.","ファイル '%1' は画像ではありません。"
"Validation failed. Required options were not filled or file was not uploaded.","承認に失敗しました。必須のオプションが入力されてないかファイルがアップロードされていません。"
"The file you uploaded is larger than %1 Megabytes allowed by server","アップロードされたファイルはサーバーで許可された%1メガバイトより大きいです"
"Option required.","オプション必須です。"
"Some of the selected item options are not currently available.",選択いただいたオプションのうちいくつかは現在ご利用いただけません。
"The text is too long.","テキストが長すぎます。"
"This product doesn't have group price","この商品はグループ価格がありません"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2.","Product hasn't group price with such data: customerGroupId = '%1', website = %2."
"Invalid data provided for group price","グループ価格に不正なデータが提供されました"
"This product doesn't have tier price","この商品はtier価格がありません"
"Product hasn\'t group price with such data: customerGroupId = \'%1\'' ', website = %2, qty = %3","Product hasn\'t group price with such data: customerGroupId = \'%1\'' ', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"We can't create writeable directory ""%1"".","書き込み可能なディレクトリを作成できません ""%1""."
"The file upload failed.","ファイルアップロードが失敗しました。"
"The product has required options.","商品は必須のオプションがあります"
"Something went wrong while processing the request.","リクエストをプロセス中に問題が発生しました。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 は \Magento\Catalog\Model\Product\Type\AbstractType　を拡張できません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 は \Magento\Catalog\Model\Product\Type\Price　を拡張できません。"
"Not Visible Individually",非表示
"Catalog, Search","カタログ, 検索"
"Something went wrong removing products from the websites.","ウェブサイトから商品を削除中に問題が発生しました。"
"Something went wrong adding products to websites.","ウェブサイトに商品を追加中に問題が発生しました。"
"Group with id ""%1"" does not exist.","id ""%1"" のグループは存在しません。"
"Attribute group that contains system attributes can not be deleted","システム属性を含む属性グループは削除できませんでした。"
"Collection provider is not registered","コレクションプロバイダーは登録していません。"
"Unknown link type: %1","不明なリンクタイプ: %1"
"Provided link type ""%1"" does not exist","提供されたリンクタイプ ""%1"" は存在しません"
"Invalid data provided for linked products","リンクされた商品に不正なデータが提供されました"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 の商品はSKU %2の商品とリンクされていません"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","要求された商品は存在しない"
"Product option with id %1 does not exist","id %1 商品オプション存在しません"
"Product with SKU ""%1"" does not exist","SKU ""%1"" は商品は存在しません"
"Invalid product data: %1","不明な商品データ: %1"
"Unable to remove product %1","商品%1削除不能"
"Attribute '%1' is locked. %2","属性 '%1' はロックされています。 %2"
"Do not change the scope. %1","スコープを変えないでください。 %1"
"A product type is not defined for the indexer.",商品種別はインデックス処理で未定義です。
"%1 doesn't extend \Magento\Catalog\Model\Resource\Product\Indexer\Price\DefaultPrice","%1 は \Magento\Catalog\Model\Resource\Product\Indexer\Price\DefaultPrice　を拡張できません。"
"Multiple Select",複数選択
Dropdown,ドロップダウン
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 は \Magento\Framework\Filter\Template　を拡張できません。"
fl,fl
123,123
"Are you sure you want to delete this category?",このカテゴリを削除してもよろしいですか？
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","<a href=""%1"">コンフィグ</a>にてこのストアのルートカテゴリーを設定してください。"
"This operation can take a long time","このオペレーションは時間がかかります"
"Please confirm site switching. All data that hasn't been saved will be lost.",サイトの切替を確認してください。保存されていないデータは失われます。
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ,色, etc.)"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"Is Default",デフォルト
"Add Option",オプションを追加
"Sort Option","並べ替えオプション"
Groups,グループ
"Double click on a group to rename it",ダブルクリックしてグループをリネームします
"Unassigned Attributes",未割り当ての属性
"A name is required.","名前は必須です。"
"This group contains system attributes. Please move system attributes to another group and try again.",グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。
"Please enter a new group name.","新しいグループ名を入力してください。"
"An attribute group named ""/name/"" already exists"".","属性グループ名 ""/name/"" は既に存在します""。"
"We're unable to complete this request.","このリクエストを完了できませんでした。"
"You cannot remove system attributes from this set.","システム属性をこのセットから削除できませんでした。"
"Custom Options",カスタムオプション
"This is a required option.","これは必須オプションです。"
"Field is not complete",フィールドは完了していません
"Allowed file extensions to upload",許可した拡張子のファイルをアップロードする
"Maximum image width",画像の最大幅
"Maximum image height",画像の最大高さ
"Maximum number of characters:",最大文字数:
"Product online","商品オンライン"
"Product offline","商品オフライン"
"Product online status","商品オンラインステータス"
"Manage Stock",在庫管理
"Minimum Qty for Item's Status to be Out of Stock",商品の状態を在庫切れとする最低数
"Minimum Qty Allowed in Shopping Cart",カートの中で許可する最小個数
"Maximum Qty Allowed in Shopping Cart",カートの中で許可する最大個数
"Qty Uses Decimals",個数に小数表記を使う
Backorders,バックオーダー
"Notify for Quantity Below",これ以下の数量になれば通知
"Enable Qty Increments",個数の増分を許可する
"Qty Increments",個数の増分
"Stock Availability",在庫の有無
"In Stock",在庫あり
"Out of Stock",在庫切れ
"Add Product To Websites",商品をウェブサイトに追加
"Remove Product From Websites",ウェブサイトから商品を削除
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.",価格が変化するようなセット商品はカスタム定義オプションを含めることができません。オプションは保存されません。
"Delete Custom Option","カスタムオプション削除"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions",許可する拡張子
"Maximum Image Size",最大画像サイズ
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","もし画像でなければ空白にしてください。"
"Sort Custom Option","並べ替えカスタムオプション"
"Max Characters",最大文字数
"Customer Group",顧客グループ
"Delete Group Price",グループ価格の削除
"Item Price","アイテム価格"
"and above",またはそれ以上
"Delete Tier",階層の削除
"Product In Websites",ウェブサイト内の商品
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"(Copy data from: %1)","(データのコピー元: %1)"
"Remove Image","画像削除"
"Alt Text","Alt テキスト"
Role,ロール
"Hide from Product Page","商品ページから隠す"
"Close panel","閉じるパネル"
"Product Alerts",商品通知
"Qty for Item's Status to Become Out of Stock",在庫切れステータスにする在庫数
"Can be Divided into Multiple Boxes for Shipping",配送時に複数梱包に分割可能です
"Basic Settings","基本設定"
"Advanced Settings",拡張設定
"Special Price",特別価格
"Buy %1 for: ","%1を購入: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Shop By",閲覧中
"Shopping Options",絞り込み条件
"Compare Products",商品の比較
"Print This Page",ページを印刷する
"Remove Product","商品削除"
"You have no items to compare.",比較する商品はありません
Compare,比較する
"Clear All",すべてクリア
Prev,前へ
"There are no products matching the selection.",条件にマッチする商品はありません。
"Learn More",もっと詳しく
"You may also be interested in the following product(s)",以下の商品にご興味はありませんか？
"More Choices:","更なる選択:"
"Check items to add to the cart or",アイテムをクリックしてカートに追加または
"select all",全て選択
"Items %1-%2 of %3","%3の商品%1-%2"
"%1 Item","%1 注文"
"%1 Items","%1 注文"
Show,表示
"Sort By",並び順
"Set Ascending Direction",昇順
"Set Descending Direction",降順
"View as",表示方法
"Additional Information",追加情報
"More Views",もっと見る
"Click on image to view it full sized","フルサイズで見るには画像をクリックしてください。"
"Click on image to zoom","ズームするには画像をクリックしてください"
Details,詳細
"We don't recognize or support this file extension type.","このファイル拡張子を認識できないかサポートしていません。"
"Warning message","警告メッセージ"
Ok,Ok
"Configure Product",商品を構成する
"Select type of option.","オプションのタイプを選択してください。"
"Please add rows to option.",オプションに行を加えてください。
"Select Product","商品選択"
"Choose existing category.","既存のカテゴリーを選択してください。"
"Create Category","カテゴリー作成"
"unselect all",全て未選択にする
"Search Engine Optimization","検索エンジンオプティマイゼーション"
"Product Fields Auto-Generation","商品フィールド自動生成"
"Mask for SKU","SKUのマスク"
"Use {{name}} as Product Name placeholder","{{name}} を商品名プレイスホルダーとして使用する"
"Mask for Meta Title","メタタイトルのためのマスク"
"Mask for Meta Keywords","メタキーワードのためのマスク"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","{{name}} を商品名として使うあるいは {{sku}}を商品SKUプレースホルダーとして使う"
"Mask for Meta Description","メタ詳細のマスク"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","{{name}}と{{description}}を商品名と商品詳細プレースホルダーとして使う"
Frontend,フロントエンド
"List Mode",リストモード
"Products per Page on Grid Allowed Values",商品グリッド表示で使用できる候補
Comma-separated.,コンマ区切り
"Products per Page on Grid Default Value",商品グリッド表示のデフォルト値
"Must be in the allowed values list","限界値リスト内でなければなりません"
"Products per Page on List Allowed Values",商品リスト表示の表示件数候補
"Products per Page on List Default Value",商品リスト表示でのデフォルト値
"Use Flat Catalog Category",フラットカタログカテゴリを使用する
"Use Flat Catalog Product",フラットカタログ商品を使用する
"Product Listing Sort by",商品リスト表示の表示順
"Allow All Products per Page",全商品を1ページに表示させる
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","""Show X Per Page""ドロップダウン内にて""All""を表示するかどうか"
"Allow Dynamic Media URLs in Products and Categories",動的なメディアURLを商品とカテゴリに許可する
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。 ダイナミックディレクティブはカタログのパフォーマンスに影響を及ぼします。"
"Product Image Placeholders",商品画像プレースホルダ
"Page Title Separator",ページタイトル区切文字
"Use Canonical Link Meta Tag For Categories",カテゴリにCanonicalタグを使用する
"Use Canonical Link Meta Tag For Products",商品に正確なCanonicalタグを使用する
"Catalog Price Scope",カタログ価格スコープ
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","これが基本通貨スコープを定義します (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation",カテゴリTOPナビゲーション
"Maximal Depth",最大階層
"Date & Time Custom Options",日付と時間のオプション
"Use JavaScript Calendar",JavaScriptカレンダーを使用する
"Date Fields Order",日付入力欄の形式
"Time Format",時間のフォーマット
"Year Range",年範囲
"Please use a four-digit year format.","4桁の年フォーマットを使用してください。"
"Product Image Watermarks",商品画像ウオーターマーク
"Watermark Default Size",透かしデフォルトサイズ
"Watermark Opacity, Percent",ウオーターマーク不透明度
Watermark,透かし
"Watermark Position",透かし位置
"Use Static URLs for Media Content in WYSIWYG for Catalog",WYSIWYGエディタカタログのメディアコンテンツで静的URLを使用する
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","これはカタログ商品とカテゴリーにのみ適用されます。 メディアコンテンツは静的コンテンツとしてエディタに挿入されます。 もしシステムコンフィギュレーションベースURLが変わるとメディアコンテンツはアップデートされません。"
"Top Level Category",カテゴリの最上位
"Product Flat Data",商品フラットデータ
"Reorganize EAV product structure to flat structure",EAV商品ストラクチャをフラットストラクチャに変換したインデックス
"Category Flat Data",カテゴリフラットデータ
"Reorganize EAV category structure to flat structure",EAVカテゴリストラクチャをフラットストラクチャに変換したインデックス
"Indexed category/products association",カテゴリ/商品の関連インデックス
"Product Categories",商品カテゴリ
"Indexed product/categories association","インデックスされた商品/カテゴリー提携"
"Product Price","商品価格"
"Index product prices",商品価格インデックス
"Product EAV","商品 EAV"
"Index product EAV","インデックス商品 EAV"
"Catalog New Products List",新着商品リスト
"List of Products that are set as New",新着商品リスト
"Display Type",表示方法
"All products - recently added products, New products - products marked as new","すべての商品 - 最近登録した商品 - 新着商品"
"All products",すべての商品
"New products",新商品
"Display Page Control",ページコントロールを表示
"Number of Products per Page",1ページあたりの商品表示件数
"Number of Products to Display",商品表示点数
"New Products Grid Template",新着商品グリッドテンプレート
"New Products List Template",新着商品リストテンプレート
"New Products Images and Names Template","新着商品画像と名前テンプレート"
"New Products Names Only Template","新着商品名のみテンプレート"
"New Products Images Only Template","新着商品画像のみテンプレート"
"Cache Lifetime (Seconds)","キャッシュ有効期間 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","設定されて居ない場合86400がデフォルトです。今すぐ更新するには、ブロックHTMLアウトプットキャッシュをクリアしてください。"
"Catalog Product Link",商品リンク
"Link to a Specified Product",指定商品にリンク
"If empty, the Product Name will be used",空白の場合は商品名が使用されます
"Product Link Block Template",商品リンクブロックテンプレート
"Product Link Inline Template",商品インラインリンクテンプレート
"Catalog Category Link",カテゴリリンク
"Link to a Specified Category",特定のカテゴリにひもづける
"If empty, the Category Name will be used",もし空白の場合はカテゴリ名が使用されます。
"Category Link Block Template",カテゴリリンクブロックテンプレート
"Category Link Inline Template",カテゴリリンクインラインテンプレート
Set,セット
none,なし
Overview,オーバービュー
"Create Empty",空を作成
"Generate Variations","バリエーション生成"
"Create New Variation Set","新しいバリエーションセット作成"
"Associated Products",紐付け済み商品
"Select Configurable Attributes","コンフィグ可能属性を選択"
"Configurable Product Settings",比較可能な商品設定
"Choose an Option...",オプションを選択してください...
"This attribute is used in configurable products.",この属性はコンフィグ商品で使用されています。
"Product has been already attached","商品は既にひも付けされています"
"Product with specified sku: %1 is not a configurable product","指定されたSKUの商品: %1 はコンフィグ商品ではありません"
"Requested option doesn't exist: %1","要求されたオプションは存在しません: %1"
"Cannot delete variations from product: %1","商品からバリエーションを削除できません: %1"
